id,term,course_id,class_num,school,subject,catalog_num,section,title,instructor,start_time,end_time,meeting_days,enrollment_count,response_count,question0_average_rating,question1_average_rating,question2_average_rating,question3_average_rating,question4_average_rating
58462,2013 Fall,7103,15870,MEAS,EECS,202-0,20,Introduction to Electrical Engineering,Arthur Butz,14:00,14:50,MoTuWeFr,46,31,3.25,3.22,3.54,3.78,3.17
12281,2013 Spring,7103,34826,MEAS,EECS,202-0,01,Introduction to Electrical Engineering,Hooman Mohseni,10:00,10:50,MoTuWeFr,49,28,4.48,4.54,3.96,4.29,4.08
43968,2013 Winter,7103,22979,MEAS,EECS,202-0,20,Introduction to Electrical Engineering,Ilya Mikhelson,10:00,10:50,MoTuWeFr,41,26,4.60,4.08,4.42,4.64,4.44
47821,2012 Fall,7103,13728,MEAS,EECS,202-0,20,Introduction to Electrical Engineering,Ilya Mikhelson,14:00,14:50,MoTuWeFr,37,25,5.14,4.64,4.67,4.55,5.05
61756,2012 Spring,7103,34386,MEAS,EECS,202-0,01,Introduction to Electrical Engineering,Allen Taflove,10:00,10:50,MoTuWeFr,37,22,4.77,4.19,4.33,4.62,4.24
65406,2012 Winter,7103,24134,MEAS,EECS,202-0,20,Introduction to Electrical Engineering,Hooman Mohseni,10:00,10:50,MoTuWeFr,35,22,4.06,3.53,3.63,3.88,3.50
69014,2011 Fall,7103,13701,MEAS,EECS,202-0,20,Introduction to Electrical Engineering,Allen Taflove,14:00,14:50,MoTuWeFr,43,35,4.87,4.27,4.30,4.90,4.27
73306,2011 Spring,7103,34318,MEAS,EECS,202-0,01,Introduction to Electrical Engineering,Selim Shahriar,10:00,10:50,MoTuWeFr,32,24,4.17,3.88,3.81,3.94,3.59
76561,2011 Winter,7103,24024,MEAS,EECS,202-0,20,Introduction to Electrical Engineering,Ilya Mikhelson,10:00,10:50,MoWeFr,44,32,4.66,4.29,4.52,4.48,4.48
79912,2010 Fall,7103,13624,MEAS,EECS,202-0,20,Introduction to Electrical Engineering,Allen Taflove,14:00,14:50,MoTuWeFr,38,22,4.72,4.28,4.44,4.53,4.28
83301,2010 Spring,7103,37893,MEAS,EECS,202-0,01,Introduction to Electrical Engineering,Selim Shahriar,10:00,10:50,MoTuWeFr,37,23,3.23,3.48,3.60,3.90,3.05
86505,2010 Winter,7103,20974,MEAS,EECS,202-0,20,Introduction to Electrical Engineering,Matthew Grayson,10:00,10:50,MoTuWeFr,40,20,5.13,4.29,4.47,4.24,4.35
89738,2009 Fall,7103,10772,MEAS,EECS,202-0,20,Introduction to Electrical Engineering,Sotirios Tsaftaris,14:00,14:50,MoTuWeFr,41,31,4.48,3.96,4.00,3.90,4.59
93428,2009 Spring,7103,31632,MEAS,EECS,202-0,01,Introduction to Electrical Engineering,Selim Shahriar,10:00,10:50,MoTuWeFr,49,25,4.19,3.70,3.65,3.75,3.50
96332,2009 Winter,7103,20967,MEAS,EECS,202-0,20,Introduction to Electrical Engineering,Matthew Grayson,10:00,10:50,MoTuWeFr,44,30,4.48,4.04,3.92,3.67,4.15
109685,2014 Fall,8643,13923,MEAS,EECS,203-0,20,Introduction to Computer Engineering,Hai Zhou,11:00,11:50,MoTuWeFr,40,22,3.79,4.11,4.74,4.68,3.55
52603,2014 Spring,8643,34190,MEAS,EECS,203-0,01,Introduction to Computer Engineering,Hai Zhou,11:00,11:50,MoWeFr,34,17,3.81,3.88,4.35,4.71,3.53
55535,2014 Winter,8643,20516,MEAS,EECS,203-0,20,Introduction to Computer Engineering,Chi-Haur Wu,11:00,11:50,MoTuWeFr,22,15,2.93,4.00,4.27,4.40,2.93
58463,2013 Fall,8643,15874,MEAS,EECS,203-0,20,Introduction to Computer Engineering,Russell Joseph,11:00,11:50,TuWeFr,64,47,5.45,5.35,5.33,4.60,5.26
12282,2013 Spring,8643,34829,MEAS,EECS,203-0,01,Introduction to Computer Engineering,Hai Zhou,11:00,11:50,MoTuWeFr,30,15,3.36,3.71,4.21,4.40,3.00
43969,2013 Winter,8643,22983,MEAS,EECS,203-0,20,Introduction to Computer Engineering,Chi-Haur Wu,11:00,11:50,MoTuWeFr,32,20,3.80,4.50,4.95,4.10,3.80
47822,2012 Fall,8643,13732,MEAS,EECS,203-0,20,Introduction to Computer Engineering,Russell Joseph,11:00,11:50,MoTuWeFr,34,26,5.04,5.04,5.27,4.46,5.00
61757,2012 Spring,8643,34389,MEAS,EECS,203-0,01,Introduction to Computer Engineering,Hai Zhou,11:00,11:50,MoTuWeFr,24,12,3.11,3.67,4.56,4.67,3.11
65407,2012 Winter,8643,24138,MEAS,EECS,203-0,20,Introduction to Computer Engineering,Chi-Haur Wu,11:00,11:50,MoTuWeFr,40,29,3.78,4.15,4.61,4.61,3.70
69015,2011 Fall,8643,13705,MEAS,EECS,203-0,20,Introduction to Computer Engineering,Russell Joseph,11:00,11:50,MoTuWeFr,28,20,5.19,5.12,5.42,5.39,5.42
73307,2011 Spring,8643,34321,MEAS,EECS,203-0,01,Introduction to Computer Engineering,Hai Zhou,11:00,11:50,MoTuWeFr,21,16,3.00,3.86,4.60,4.60,3.53
76562,2011 Winter,8643,24028,MEAS,EECS,203-0,20,Introduction to Computer Engineering,Chi-Haur Wu,11:00,11:50,MoTuWeFr,29,21,4.38,4.67,5.00,4.57,4.29
79913,2010 Fall,8643,13628,MEAS,EECS,203-0,20,Introduction to Computer Engineering,Russell Joseph,11:00,11:50,MoTuWeFr,27,23,4.85,4.82,4.95,4.55,4.67
83302,2010 Spring,8643,37901,MEAS,EECS,203-0,01,Introduction to Computer Engineering,Chi-Haur Wu,11:00,11:50,MoWeFr,15,7,4.17,4.17,5.00,4.60,4.17
86506,2010 Winter,8643,20982,MEAS,EECS,203-0,20,Introduction to Computer Engineering,Chi-Haur Wu,11:00,11:50,MoWeFr,20,9,3.78,4.22,4.89,4.78,3.88
89739,2009 Fall,8643,10780,MEAS,EECS,203-0,01,Introduction to Computer Engineering,Russell Joseph,11:00,11:50,MoWeFr,27,21,4.38,4.43,4.81,4.71,4.19
93429,2009 Spring,8643,31640,MEAS,EECS,203-0,01,Introduction to Computer Engineering,Hai Zhou,11:00,11:50,MoTuWeFr,25,18,3.56,3.22,4.35,4.47,3.06
109686,2014 Fall,5017,13700,MEAS,EECS,205-0,20,Fundamentals of Computer System Software,Wei-Chung Lin,16:00,16:50,MoTuWeFr,7,4,4.50,4.25,5.50,4.50,3.75
55536,2014 Winter,5017,20874,MEAS,EECS,205-0,20,Fundamentals of Computer System Software,Russell Joseph,14:00,14:50,MoTuWeFr,61,43,5.40,5.05,5.15,4.95,5.23
58464,2013 Fall,5017,15641,MEAS,EECS,205-0,20,Fundamentals of Computer System Software,Wei-Chung Lin,16:00,16:50,MoTuWeFr,9,5,2.40,2.80,4.00,4.80,2.00
43970,2013 Winter,5017,23379,MEAS,EECS,205-0,20,Fundamentals of Computer System Software,Wei-Chung Lin,14:00,14:50,MoTuWeFr,17,9,2.50,2.50,3.63,3.89,2.00
65408,2012 Winter,5017,27331,MEAS,EECS,205-0,20,Fundamentals of Computer System Software,Russell Joseph,14:00,14:50,MoTuWeFr,26,18,5.29,5.06,5.31,5.06,4.69
73308,2011 Spring,5017,34323,MEAS,EECS,205-0,20,Fundamentals of Comupter System Software,Russell Joseph,14:00,14:50,MoTuWeFr,22,9,5.00,5.00,5.50,4.50,4.63
79914,2010 Fall,5017,13380,MEAS,EECS,205-0,20,Fundamentals of Comupter System Software,Wei-Chung Lin,16:00,16:50,MoTuWeFr,7,4,3.25,4.00,5.25,4.75,2.75
83303,2010 Spring,5017,37905,MEAS,EECS,205-0,20,Fundamentals of Comupter System Software,Russell Joseph,14:00,14:50,MoTuWeFr,14,9,5.33,5.44,5.56,4.67,5.11
89740,2009 Fall,5017,10282,MEAS,EECS,205-0,20,Fundamentals of Comupter System Software,Wei-Chung Lin,16:00,16:50,MoTuWeFr,4,1,5.00,5.00,6.00,6.00,5.00
93430,2009 Spring,5017,31644,MEAS,EECS,205-0,20,Fundamentals of Comupter System Software,Russell Joseph,14:00,14:50,MoTuWeFr,18,10,5.10,5.10,5.00,5.30,5.20
109687,2014 Fall,4967,14112,MEAS,EECS,211-0,20,Fundamentals of Computer Programming II,Wei-Chung Lin,13:00,13:50,MoTuWeFr,26,17,2.75,3.25,4.29,4.29,2.35
52604,2014 Spring,4967,34418,MEAS,EECS,211-0,20,Fundamentals of Computer Programming II,Jonathan Gemmell,13:00,13:50,MoWeFr,51,37,5.21,5.07,4.93,4.41,5.15
52605,2014 Spring,4967,39211,MEAS,EECS,211-0,21,Fundamentals of Computer Programming II,Jonathan Gemmell,14:00,14:50,MoWeFr,49,39,5.27,5.24,5.13,4.58,5.21
55537,2014 Winter,4967,20561,MEAS,EECS,211-0,20,Fundamentals of Computer Programming II,Nan Jiang,14:00,14:50,MoTuWeFr,56,39,2.11,2.30,3.49,3.92,1.95
55538,2014 Winter,4967,20873,MEAS,EECS,211-0,21,Fundamentals of Computer Programming II,William Hendrix,15:00,15:50,MoTuWeFr,73,48,3.43,3.18,4.17,4.71,2.90
58465,2013 Fall,4967,16073,MEAS,EECS,211-0,20,Fundamentals of Computer Programming II,Wei-Chung Lin,13:00,13:50,MoTuWeFr,33,20,2.47,2.88,3.65,3.56,2.06
12283,2013 Spring,4967,35062,MEAS,EECS,211-0,20,Fundamentals of Computer Programming II,Lawrence Joseph Henschen,13:00,13:50,MoWeFr,58,38,4.54,4.59,4.43,4.42,4.50
43971,2013 Winter,4967,23028,MEAS,EECS,211-0,20,Fundamentals of Computer Programming II,Lawrence Joseph Henschen,14:00,14:50,MoTuWeFr,79,61,4.89,4.63,4.84,4.68,4.46
43972,2013 Winter,4967,23378,MEAS,EECS,211-0,21,Fundamentals of Computer Programming II,William Hendrix,15:00,15:50,MoTuWeFr,28,18,4.53,4.88,5.06,4.76,4.18
47824,2012 Fall,4967,13942,MEAS,EECS,211-0,20,Object-Oriented Programming in C++,Wei-Chung Lin,13:00,13:50,MoTuWeFr,32,23,2.24,2.77,3.87,3.39,1.96
61758,2012 Spring,4967,34635,MEAS,EECS,211-0,20,Object-Oriented Programming in C++,Lawrence Joseph Henschen,13:00,13:50,MoWeFr,61,35,4.23,4.24,4.72,5.17,4.31
65409,2012 Winter,4967,24188,MEAS,EECS,211-0,20,Object-Oriented Programming in C++,Lawrence Joseph Henschen,14:00,14:50,MoTuWeFr,63,48,4.58,4.64,4.65,4.63,4.48
65410,2012 Winter,4967,27330,MEAS,EECS,211-0,21,Object-Oriented Programming in C++,Goce Trajcevski,15:00,15:50,MoWeFr,31,26,4.70,4.78,4.78,4.61,4.30
69017,2011 Fall,4967,13925,MEAS,EECS,211-0,20,Object-Oriented Programming in C++,Wei-Chung Lin,13:00,13:50,MoTuWeFr,23,16,2.21,2.71,3.36,3.50,2.00
73309,2011 Spring,4967,34577,MEAS,EECS,211-0,20,Fundamentals of Computer Programming 2,Lawrence Joseph Henschen,13:00,13:50,MoWeFr,53,33,4.59,4.48,4.72,4.83,4.41
76563,2011 Winter,4967,24078,MEAS,EECS,211-0,20,Fundamentals of Computer Programming 2,Lawrence Joseph Henschen,14:00,14:50,MoWeFr,51,43,4.71,4.73,4.78,4.32,4.49
79915,2010 Fall,4967,13860,MEAS,EECS,211-0,20,Fundamentals of Computer Programming 2,Peter Scheuermann,13:00,13:50,MoTuWeFr,13,10,3.00,3.33,4.11,4.56,2.56
83304,2010 Spring,4967,38439,MEAS,EECS,211-0,20,Fundamentals of Computer Programming 2,Ioan Raicu,13:00,13:50,MoTuWeFr,33,23,3.27,3.82,4.00,4.41,2.77
86507,2010 Winter,4967,21084,MEAS,EECS,211-0,20,Fundamentals of Computer Programming 2,Lawrence Joseph Henschen,14:00,14:50,MoTuWeFr,32,28,5.00,4.96,4.67,4.37,4.48
89741,2009 Fall,4967,11298,MEAS,EECS,211-0,20,Fundamentals of Computer Programming 2,Lawrence Joseph Henschen,13:00,13:50,MoTuWeFr,19,14,4.57,4.50,4.43,4.36,4.21
93431,2009 Spring,4967,41979,MEAS,EECS,211-0,20,Fundamentals of Computer Programming 2,Christopher Riesbeck,13:00,13:50,MoTuWeFr,31,22,4.95,4.91,4.91,5.09,4.68
96334,2009 Winter,4967,21117,MEAS,EECS,211-0,20,Fundamentals of Computer Programming 2,Lawrence Joseph Henschen,14:00,14:50,MoTuWeFr,45,40,4.28,4.28,4.60,4.93,4.05
109688,2014 Fall,4968,14087,MEAS,EECS,212-0,20,Mathematical Foundations of Comp Science,William Hendrix,15:00,15:50,MoWeFr,81,53,4.94,4.60,4.54,4.33,4.31
55539,2014 Winter,4968,33766,MEAS,EECS,212-0,20,Mathematical Foundations of Comp Science,Morteza Amir Rahimi,11:00,11:50,MoWeFr,86,56,3.22,3.18,3.68,3.76,2.70
58466,2013 Fall,4968,16045,MEAS,EECS,212-0,20,Mathematical Foundations of Comp Science,William Hendrix,11:00,12:20,TuTh,61,47,4.67,4.36,4.53,4.35,4.18
43978,2013 Winter,4968,23380,MEAS,EECS,310-0,20,Mathematical Foundations of Comp Science,Morteza Amir Rahimi,09:00,09:50,MoWeFr,78,60,3.44,3.48,3.55,3.60,2.98
47833,2012 Fall,4968,13911,MEAS,EECS,310-0,20,Mathematical Foundations of Comp Science,William Hendrix,12:30,13:50,TuTh,39,34,5.06,4.77,4.58,4.58,4.55
65415,2012 Winter,4968,27332,MEAS,EECS,310-0,20,Mathematical Foundations of Comp Science,Morteza Amir Rahimi,15:30,16:50,TuTh,82,52,3.61,3.55,4.06,4.30,3.12
69026,2011 Fall,4968,13891,MEAS,EECS,310-0,20,Mathematical Foundations of Comp Science,Nicole Immorlica,12:30,13:50,TuTh,48,29,3.22,3.30,4.41,5.24,2.86
47819,2012 Fall,4964,13491,MEAS,EECS,111-0,20,Fundamentals of Computer Programming,Ian Horswill,11:00,11:50,MoWeFr,117,84,5.22,4.82,4.85,4.56,4.91
96333,2009 Winter,8643,20975,MEAS,EECS,203-0,20,Introduction to Computer Engineering,Chi-Haur Wu,11:00,11:50,MoTuWeFr,36,27,3.70,4.19,4.89,4.63,3.41
69016,2011 Fall,5017,13457,MEAS,EECS,205-0,20,Fundamentals of Computer System Software,Wei-Chung Lin,16:00,16:50,MoTuWeFr,6,3,3.67,3.33,4.67,3.33,2.33
79924,2010 Fall,4968,13822,MEAS,EECS,310-0,20,Mathematical Foundations of Comp Science,Nicole Immorlica,12:30,13:50,TuTh,49,29,3.38,3.50,4.21,5.64,3.04
89751,2009 Fall,4968,11216,MEAS,EECS,310-0,20,Mathematical Foundations of Comp Science,Nicole Immorlica,12:30,13:50,TuTh,40,26,4.04,3.63,4.58,5.24,3.58
109689,2014 Fall,15611,14086,MEAS,EECS,213-0,20,Introduction to Computer Systems,Nikolaos Hardavellas,14:00,15:20,TuTh,72,50,4.98,4.55,5.27,5.67,4.37
112151,2014 Fall,15611,19469,MEAS,EECS,213-0,21,Introduction to Computer Systems,Mario Antonio Sanchez Morales,14:00,15:20,TuTh,78,56,4.27,4.44,4.88,4.92,4.08
52606,2014 Spring,15611,34192,MEAS,EECS,213-0,20,Introduction to Computer Systems,Peter Dinda,14:00,15:20,TuTh,71,47,4.33,4.37,5.02,5.47,3.81
58467,2013 Fall,15611,16044,MEAS,EECS,213-0,20,Introduction to Computer Systems,Nikolaos Hardavellas,14:00,15:20,TuTh,51,37,5.16,4.78,5.36,5.59,4.68
12284,2013 Spring,15611,34831,MEAS,EECS,213-0,20,Introduction to Computer Systems,Peter Dinda,14:00,15:20,MoWe,59,39,4.28,4.20,4.72,5.03,3.75
47825,2012 Fall,15611,13910,MEAS,EECS,213-0,20,Introduction to Computer Systems,Nikolaos Hardavellas,14:00,15:20,TuTh,53,34,3.79,3.69,4.62,5.23,3.27
61759,2012 Spring,15611,34392,MEAS,EECS,213-0,20,Introduction to Computer Systems,Fabian Bustamante,14:00,15:20,MoWe,46,26,4.04,4.68,5.08,5.88,4.24
69018,2011 Fall,15611,13890,MEAS,EECS,213-0,20,Introduction to Computer Systems,Christopher Riesbeck,14:00,15:20,MoWe,29,18,3.88,4.00,5.12,5.24,3.65
73310,2011 Spring,15611,34324,MEAS,EECS,213-0,20,Introduction to Computer Systems,Fabian Bustamante,14:00,15:20,MoWe,34,25,3.80,4.28,5.16,5.52,3.60
79916,2010 Fall,15611,13821,MEAS,EECS,213-0,20,Introduction to Computer Systems,Christopher Riesbeck,14:00,15:20,MoWe,36,27,4.96,4.37,4.70,4.59,4.63
83305,2010 Spring,15611,37907,MEAS,EECS,213-0,20,Introduction to Computer Systems,Fabian Bustamante,14:00,15:20,MoWe,21,13,3.77,4.25,5.50,5.17,3.58
89742,2009 Fall,15611,11214,MEAS,EECS,213-0,20,Introduction to Computer Systems,Peter Dinda,14:00,15:20,MoWe,22,14,4.57,4.79,4.64,5.29,4.29
93432,2009 Spring,15611,31646,MEAS,EECS,213-0,20,Introduction to Computer Systems,Goce Trajcevski,14:00,15:20,MoWe,16,9,5.00,4.67,5.33,5.11,4.11
109690,2014 Fall,4969,13699,MEAS,EECS,214-0,20,Data Structures & Data Management,Peter Scheuermann,12:00,12:50,MoWeFr,39,29,3.75,4.11,4.78,4.83,3.32
112152,2014 Fall,4969,19481,MEAS,EECS,214-0,21,Data Structures & Data Management,Aleck Johnsen,12:30,13:50,MoWe,85,52,5.00,4.98,4.89,4.23,4.58
52607,2014 Spring,4969,37991,MEAS,EECS,214-0,20,Data Structures & Data Management,Amartya Banerjee,09:00,09:50,MoWeFr,73,53,5.52,5.22,5.27,4.65,5.34
52608,2014 Spring,4969,37992,MEAS,EECS,214-0,21,Data Structures & Data Management,Morteza Amir Rahimi,11:00,11:50,MoWeFr,95,56,2.67,2.80,2.94,2.79,2.62
58468,2013 Fall,4969,15640,MEAS,EECS,214-0,20,Data Structures & Data Management,Peter Scheuermann,12:00,12:50,MoWeFr,59,41,3.67,3.92,4.22,4.45,3.53
12293,2013 Spring,4969,34842,MEAS,EECS,311-0,20,Data Structures & Data Management,Ian Horswill,11:00,11:50,MoTuWeFr,92,58,5.38,5.28,5.02,4.24,5.11
12294,2013 Spring,4969,35381,MEAS,EECS,311-0,21,Data Structures & Data Management,Morteza Amir Rahimi,09:00,09:50,MoWeFr,31,21,3.47,3.56,3.42,2.95,3.16
